id,name_en,name_ger,description,alternativenames_en,alternativenames_ger,typos_en,typos_ger,link,Cat_I,Cat_II,Cat_III
70,compass,Zirkel,"aus OCRE",compasses,,NULL,NULL,https://www.wikidata.org/wiki/Q103896,Tools,NULL,NULL
71,"corn wreath",Ährenkranz,NULL,"corn wreaths",,NULL,NULL,https://www.wikidata.org/wiki/Q254608,Ornaments,NULL,NULL
72,cornucopia,Füllhorn,Füllhorn,cornucopiae,,"corucopiae, corncuopiae, corpucopia","corucopiae, corncuopiae, corpucopia",https://www.wikidata.org/wiki/Q332682,Tools,NULL,NULL
73,cotyle,Kotyle,NULL,cotyles,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q2559410,Vessel-Jar,NULL,NULL
74,crepidoma,Crepidoma,"Stufenunterbau eines Tempels"," krepidoma, krepis, crepidomae","Krepidoma, Krepis",NULL,NULL,https://www.wikidata.org/wiki/Q743919,Architecture,ArchitecturalElements,NULL
75,crescent,Halbmond,NULL,crescents,,NULL,NULL,https://www.wikidata.org/wiki/Q5488888,Astrological,NULL,NULL
76,cross,Kreuz,"aus OCRE",crosses,,NULL,NULL,https://www.wikidata.org/wiki/Q40843,Ornaments,NULL,NULL
77,crown,Krone,NULL,crowns,,NULL,NULL,https://www.wikidata.org/wiki/Q170984,Ornaments,NULL,NULL
78,"crown juwel",Kronjuwel,NULL,"crowns jewels",,NULL,NULL,https://www.wikidata.org/wiki/Q298742,Ornaments,Crown,NULL
79,"cubit role",Ellenmaß,NULL,cubit-rule,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q6502030,Tools,NULL,NULL
80,cuirass,Kürass,NULL,cuirassed,"Panzer, cuirasses",NULL,NULL,https://www.wikidata.org/wiki/Q182731,Clothing,Armour,NULL
81,cup,Tasse,NULL,cups,,NULL,NULL,https://www.wikidata.org/wiki/Q81727,Vessel-Jar,NULL,NULL
82,dagger,Dolch,"aus OCRE",daggers,,NULL,NULL,https://www.wikidata.org/wiki/Q182780,Arms,NULL,NULL
83,diadem,Diadem,NULL,"diadems, diademed",,NULL,NULL,https://www.wikidata.org/wiki/Q746591,Clothing,Headdress,NULL
84,disc,Scheibe,NULL,"discs, disk, disks",,NULL,NULL,https://www.wikidata.org/wiki/Q12346540,Ornaments,NULL,NULL
85,discus,Diskus,NULL,dsicusses,Diskusse,NULL,NULL,https://www.wikidata.org/wiki/Q1228822,Tools,NULL,NULL
86,distaff,Spinnrocken,"aus OCRE",distaffs,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q962104,Tools,NULL,NULL
87,door,Tür,NULL,"doors, doored",,NULL,NULL,https://www.wikidata.org/wiki/Q36794,Interieur-Furniture,NULL,NULL
88,"double ax",Doppelaxt,NULL,"double axes",,NULL,NULL,https://www.wikidata.org/wiki/Q39397,Arms,Ax,NULL
89,"double chiton",Doppelchiton,NULL,"double chitons",,NULL,NULL,https://www.wikidata.org/wiki/Q944031,Clothing,NULL,NULL
90,"double spear",Doppelspeer,NULL,"double spears",,NULL,NULL,https://www.wikidata.org/wiki/Q44475,Arms,NULL,NULL
91,drapery,Gewand,NULL,draperies,"Tuch, Draperie",NULL,NULL,https://www.wikidata.org/wiki/Q3039121,Clothing,NULL,NULL
92,drum,Trommel,NULL,drums,,NULL,NULL,https://www.wikidata.org/wiki/Q11404,MusicalInstruments,NULL,NULL
93,eagle-sceptre,Adlerzepter,NULL,eagle-sceptres,,NULL,NULL,https://www.wikidata.org/wiki/Q152065,Ornaments,NULL,NULL
94,earring,Ohrring,NULL,earrings,,NULL,NULL,https://www.wikidata.org/wiki/Q168456,Ornaments,Jewellery,NULL
