value,link
herma,https://www.wikidata.org/wiki/Q376693
himatia,https://www.wikidata.org/wiki/Q781731
himation,https://www.wikidata.org/wiki/Q781731
hook,https://www.wikidata.org/wiki/Q4243098
hooks,https://www.wikidata.org/wiki/Q4243098
horn,https://www.wikidata.org/wiki/Q82025
horns,https://www.wikidata.org/wiki/Q82025
hydria,https://www.wikidata.org/wiki/Q745783
hydriai,https://www.wikidata.org/wiki/Q745783
ínfulas,https://www.wikidata.org/wiki/Q1454931
ingot,https://www.wikidata.org/wiki/Q83893
ingots,https://www.wikidata.org/wiki/Q83893
"ivy leaf",https://www.wikidata.org/wiki/Q26354
"ivy leaves",https://www.wikidata.org/wiki/Q26354
"ivy wreath",https://www.wikidata.org/wiki/Q41977532
"ivy wreaths",https://www.wikidata.org/wiki/Q41977532
jar,https://www.wikidata.org/wiki/Q1207302
jars,https://www.wikidata.org/wiki/Q1207302
javelin,https://www.wikidata.org/wiki/Q3757641
javelins,https://www.wikidata.org/wiki/Q3757641
jaw,https://www.wikidata.org/wiki/Q180284
jaws,https://www.wikidata.org/wiki/Q180284
jug,https://www.wikidata.org/wiki/Q1207302
jugs,https://www.wikidata.org/wiki/Q1207302
kalathoi,https://www.wikidata.org/wiki/Q492461
kalathos,https://www.wikidata.org/wiki/Q492461
kantharoi,https://www.wikidata.org/wiki/Q755706
kantharos,https://www.wikidata.org/wiki/Q755706
kausia,https://www.wikidata.org/wiki/Q525651
kerykeion,https://www.wikidata.org/wiki/Q238577
kilt,https://www.wikidata.org/wiki/Q2160801
kilts,https://www.wikidata.org/wiki/Q2160801
kithara,https://www.wikidata.org/wiki/Q12634515
kitharai,https://www.wikidata.org/wiki/Q12634515
klinai,https://www.wikidata.org/wiki/Q922892
kline,https://www.wikidata.org/wiki/Q922892
knee,https://www.wikidata.org/wiki/Q37425
knees,https://www.wikidata.org/wiki/Q37425
knife,https://www.wikidata.org/wiki/Q32489
knifes,https://www.wikidata.org/wiki/Q32489
knot,https://www.wikidata.org/wiki/Q527395
knots,https://www.wikidata.org/wiki/Q527395
knotted,https://www.wikidata.org/wiki/Q527395
krater,https://www.wikidata.org/wiki/Q476968
kraters,https://www.wikidata.org/wiki/Q476968
krepidoma,https://www.wikidata.org/wiki/Q743919
krepis,https://www.wikidata.org/wiki/Q743919
kyrbasia,https://www.wikidata.org/wiki/Q110127911
ladder,https://www.wikidata.org/wiki/Q168639
ladders,https://www.wikidata.org/wiki/Q168639
lamp,https://www.wikidata.org/wiki/Q1138737
lamps,https://www.wikidata.org/wiki/Q1138737
lance,https://www.wikidata.org/wiki/Q2003053
lances,https://www.wikidata.org/wiki/Q2003053
lappet,https://www.wikidata.org/wiki/Q1454931
lappets,https://www.wikidata.org/wiki/Q1454931
laureate,https://www.wikidata.org/wiki/Q1201922
"laurel branch",https://www.wikidata.org/wiki/Q62382636
"laurel branches",https://www.wikidata.org/wiki/Q62382636
"laurel wreath",https://www.wikidata.org/wiki/Q734844
"laurel wreaths",https://www.wikidata.org/wiki/Q734844
leash,https://www.wikidata.org/wiki/Q384873
leashes,https://www.wikidata.org/wiki/Q384873
lightning,https://www.wikidata.org/wiki/Q2794866
"lion skin",https://www.wikidata.org/wiki/Q19295193
"lion skins",https://www.wikidata.org/wiki/Q19295193
lionskin,https://www.wikidata.org/wiki/Q19295193
lionskins,https://www.wikidata.org/wiki/Q19295193
lituus,https://www.wikidata.org/wiki/Q1553522
lyre,https://www.wikidata.org/wiki/Q201129
lyres,https://www.wikidata.org/wiki/Q201129
mace,https://www.wikidata.org/wiki/Q272990
maces,https://www.wikidata.org/wiki/Q272990
mane,https://www.wikidata.org/wiki/Q263661
mantle,https://www.wikidata.org/wiki/Q6752131
mantles,https://www.wikidata.org/wiki/Q6752131
mappa,http://www.dbis.cs.uni-frankfurt.de/cnt/id/mappa_object
mappae,http://www.dbis.cs.uni-frankfurt.de/cnt/id/mappa_object
mattock,https://www.wikidata.org/wiki/Q8193873
mattocks,https://www.wikidata.org/wiki/Q8193873
mausolea,https://www.wikidata.org/wiki/Q162875
mausoleum,https://www.wikidata.org/wiki/Q162875
"military attire",https://www.wikidata.org/wiki/Q485027
mitra,https://www.wikidata.org/wiki/Q193888
mitrae,https://www.wikidata.org/wiki/Q193888
modia,https://www.wikidata.org/wiki/Q669909
modius,https://www.wikidata.org/wiki/Q669909
mouth,https://www.wikidata.org/wiki/Q9635
mouths,https://www.wikidata.org/wiki/Q9635
"mural crown",https://www.wikidata.org/wiki/Q429340
"mural crowns",https://www.wikidata.org/wiki/Q429340
nape,https://www.wikidata.org/wiki/Q374727
napes,https://www.wikidata.org/wiki/Q374727
"naval ram",https://www.wikidata.org/wiki/Q778702
"naval rams",https://www.wikidata.org/wiki/Q778702
necklace,https://www.wikidata.org/wiki/Q189299
necklaces,https://www.wikidata.org/wiki/Q189299
nymphaea,https://www.wikidata.org/wiki/Q731966
nymphaeum,https://www.wikidata.org/wiki/Q731966
"oak wreath",https://www.wikidata.org/wiki/Q58097277
"oak wreaths",https://www.wikidata.org/wiki/Q58097277
oar,https://www.wikidata.org/wiki/Q2003749
oars,https://www.wikidata.org/wiki/Q2003749
obelisk,https://www.wikidata.org/wiki/Q170980
obelisks,https://www.wikidata.org/wiki/Q170980
object,https://www.wikidata.org/wiki/Q488383
objects,https://www.wikidata.org/wiki/Q488383
oinochoe,https://www.wikidata.org/wiki/Q831869
olive-branch,https://www.wikidata.org/wiki/Q138550
olive-branches,https://www.wikidata.org/wiki/Q138550
omphaloi,https://www.wikidata.org/wiki/Q761739
omphalos,https://www.wikidata.org/wiki/Q761739
ore,https://www.wikidata.org/wiki/Q102798
ores,https://www.wikidata.org/wiki/Q102798
ornament,https://www.wikidata.org/wiki/Q335261
ornamented,https://www.wikidata.org/wiki/Q335261
ornaments,https://www.wikidata.org/wiki/Q335261
palladia,https://www.wikidata.org/wiki/Q829650
palladium,https://www.wikidata.org/wiki/Q829650
"palm branch",https://www.wikidata.org/wiki/Q696809
"palm branches",https://www.wikidata.org/wiki/Q696809
paludamenta,https://www.wikidata.org/wiki/Q637970
paludamentum,https://www.wikidata.org/wiki/Q637970
parazonia,https://www.wikidata.org/wiki/Q542336
parazonium,https://www.wikidata.org/wiki/Q542336
patera,https://www.wikidata.org/wiki/Q1109404
paterae,https://www.wikidata.org/wiki/Q1109404
pearl,https://www.wikidata.org/wiki/Q43436
pearls,https://www.wikidata.org/wiki/Q43436
peda,https://www.wikidata.org/wiki/Q506002
pediment,https://www.wikidata.org/wiki/Q190996
pediments,https://www.wikidata.org/wiki/Q190996
pedum,https://www.wikidata.org/wiki/Q506002
pellet,https://www.wikidata.org/wiki/Q60434742
pellets,https://www.wikidata.org/wiki/Q60434742
pelta,https://www.wikidata.org/wiki/Q1460115
peltae,https://www.wikidata.org/wiki/Q1460115
pendant,https://www.wikidata.org/wiki/Q2111434
petasi,https://www.wikidata.org/wiki/Q910792
petasoi,https://www.wikidata.org/wiki/Q910792
petasos,https://www.wikidata.org/wiki/Q910792
petasus,https://www.wikidata.org/wiki/Q910792
phalli,https://www.wikidata.org/wiki/Q168552
phallus,https://www.wikidata.org/wiki/Q168552
pileus,https://www.wikidata.org/wiki/Q1778772
pillar,https://www.wikidata.org/wiki/Q4817
pillared,https://www.wikidata.org/wiki/Q4817
piloi,https://www.wikidata.org/wiki/Q1778772
